ID,Fault_Type,Phase,RMS_Voltage,Peak_Voltage,THD,Duration_ms,DWT_Energy_Level1,DWT_Energy_Level2,DWT_Entropy,Signal_Noise_Ratio_dB,Label
633,Transient,B,228.14,412.24,3.0,166.0,71.25,18.48,2.83,21.91,3.0
634,Swell,B,259.1,366.42,,111.0,11.52,45.93,2.08,36.39,2.0
635,Normal,A,238.6,337.42,2.87,17.0,55.26,40.78,1.54,39.55,0.0
636,Normal,C,225.83,319.37,2.04,39.0,29.19,40.18,1.82,25.21,0.0
637,Normal,A,229.31,324.3,1.41,240.0,98.76,41.94,2.13,21.4,0.0
638,Normal,C,239.1,338.14,2.63,139.0,31.93,18.77,2.93,21.26,0.0
639,Sag,A,158.77,224.53,2.23,171.0,67.36,8.18,2.45,30.7,1.0
640,Harmonics,A,232.74,329.14,10.29,207.0,81.68,31.79,4.55,28.22,4.0
641,Sag,B,146.62,207.35,3.34,94.0,66.41,6.3,3.57,25.54,1.0
642,Sag,B,147.95,209.23,1.97,273.0,89.38,48.16,1.77,34.35,1.0
643,Swell,C,265.14,374.97,4.94,224.0,95.09,33.45,2.74,30.5,2.0
644,Sag,A,144.88,204.89,2.98,298.0,49.84,37.95,1.93,36.26,1.0
645,Sag,B,148.94,210.64,2.51,229.0,16.24,31.02,3.39,34.78,1.0
646,Transient,C,224.68,388.05,7.92,27.0,28.38,33.21,2.43,39.91,3.0
647,Sag,B,139.35,197.07,2.83,,82.07,25.3,3.87,31.72,1.0
648,Transient,B,229.19,372.51,5.42,255.0,95.7,28.99,3.53,30.86,3.0
649,Sag,B,148.27,209.69,2.93,192.0,29.84,12.41,2.63,38.53,1.0
650,Swell,C,277.62,392.61,3.18,256.0,35.69,31.36,1.44,39.32,2.0
651,Transient,A,229.6,396.43,2.23,100.0,10.44,23.57,1.4,30.18,3.0
652,Harmonics,C,237.36,335.67,7.9,183.0,86.11,33.59,1.17,24.14,4.0
653,Normal,B,229.59,324.68,2.12,,10.64,35.61,4.3,22.93,0.0
654,Swell,A,282.75,399.87,4.29,96.0,22.06,10.21,4.38,22.79,2.0
655,Transient,B,234.78,399.23,4.09,224.0,86.51,18.01,4.81,21.0,3.0
656,Normal,C,232.96,329.46,2.19,103.0,45.97,49.23,3.15,30.05,0.0
657,Normal,C,229.5,324.56,2.02,11.0,,42.02,1.05,30.84,0.0
658,Harmonics,B,228.63,323.34,12.57,34.0,55.29,39.43,2.94,22.99,4.0
659,Normal,C,232.88,329.34,2.57,57.0,24.15,48.31,3.07,21.46,0.0
660,Harmonics,A,230.57,326.08,11.85,113.0,77.81,10.96,3.19,30.92,4.0
661,Sag,B,151.73,214.59,2.12,,96.68,,,21.58,1.0
662,Transient,B,224.8,407.84,4.01,86.0,96.47,45.63,3.79,21.93,3.0
663,Harmonics,B,233.91,330.79,7.1,155.0,87.99,31.71,1.51,28.55,
664,Sag,B,160.29,226.69,3.8,88.0,55.55,41.66,4.74,30.27,1.0
665,Normal,B,232.26,328.47,0.91,284.0,81.72,20.34,4.22,26.77,0.0
666,Normal,A,228.3,322.87,2.58,198.0,75.35,46.3,4.63,32.09,0.0
667,Sag,B,142.67,201.76,2.69,20.0,37.46,12.6,2.84,26.14,1.0
668,Swell,,291.5,412.24,5.33,250.0,70.51,19.79,2.11,23.69,2.0
669,Swell,A,262.61,371.39,,268.0,54.04,17.87,3.89,38.91,2.0
670,Harmonics,B,228.22,322.76,11.24,208.0,41.73,37.52,2.28,38.12,4.0
671,Sag,B,151.44,214.17,1.26,33.0,94.94,48.94,2.51,,1.0
672,Sag,B,119.52,169.03,2.58,95.0,14.68,10.11,1.02,39.99,1.0
673,Normal,C,230.25,325.63,2.74,24.0,35.62,21.92,4.03,30.79,0.0
674,Sag,B,159.78,225.96,,175.0,67.37,41.08,2.87,27.23,1.0
675,Swell,B,264.58,374.18,3.84,59.0,12.47,23.16,4.97,23.5,2.0
676,Transient,B,226.82,401.14,3.98,158.0,23.93,18.55,2.0,27.45,3.0
677,Transient,A,232.08,398.4,3.95,110.0,68.46,18.62,2.84,25.59,3.0
678,Normal,,230.22,325.58,2.63,215.0,60.54,12.69,1.79,26.38,0.0
679,Harmonics,B,228.42,323.04,9.29,167.0,82.24,40.46,2.19,22.71,4.0
680,Sag,B,150.54,212.89,3.97,172.0,79.06,46.7,2.93,26.31,1.0
681,Transient,C,229.97,386.85,4.62,109.0,79.56,41.14,1.61,27.33,3.0
682,Sag,C,140.33,198.46,3.38,101.0,82.84,,1.19,23.53,1.0
683,Transient,A,227.78,396.0,4.11,16.0,54.4,5.18,3.0,27.68,3.0
684,Sag,C,154.21,218.09,4.0,,69.92,14.7,1.88,,
685,Normal,,232.94,329.42,2.71,243.0,10.95,9.11,3.23,37.84,0.0
686,Swell,C,269.49,381.12,3.25,156.0,65.76,34.86,4.35,24.31,2.0
687,Sag,A,169.38,239.53,0.34,114.0,51.58,45.64,1.2,37.27,1.0
688,Swell,B,279.83,395.73,2.1,267.0,93.55,7.95,3.2,31.82,2.0
689,Harmonics,B,236.99,335.16,14.79,245.0,58.71,41.17,3.04,21.25,4.0
690,Transient,A,231.63,372.21,4.71,107.0,37.27,38.51,4.86,34.36,3.0
691,Transient,,235.3,378.46,,161.0,43.46,5.8,3.81,20.43,3.0
692,Swell,B,264.46,374.0,4.81,228.0,11.22,21.33,3.4,36.97,
693,Normal,A,240.22,339.72,2.15,18.0,40.8,13.75,3.25,26.29,0.0
694,Harmonics,A,230.42,325.86,8.99,150.0,59.12,21.17,1.33,23.87,4.0
695,Normal,B,235.69,333.32,1.42,186.0,13.38,37.27,3.15,30.17,0.0
696,Sag,A,164.66,232.86,2.52,295.0,69.83,9.73,3.69,32.71,1.0
697,Transient,B,230.99,403.51,7.52,102.0,99.94,12.89,,22.98,3.0
698,Sag,A,142.7,201.81,1.06,242.0,,19.0,1.84,36.97,1.0
699,Transient,,220.19,396.28,2.6,123.0,62.39,21.05,1.66,30.07,3.0
700,Transient,B,231.03,414.78,5.64,162.0,13.55,38.36,4.31,39.36,3.0
701,Swell,C,257.6,364.31,4.54,,99.26,16.97,,28.54,2.0
702,Normal,A,236.81,334.9,2.41,213.0,35.01,27.42,2.32,28.81,0.0
703,Sag,B,163.79,,4.73,123.0,88.6,7.69,4.55,26.58,1.0
704,Harmonics,C,219.41,310.3,13.13,88.0,27.92,24.12,2.54,38.31,4.0
705,Sag,C,141.57,200.21,2.35,125.0,15.24,16.8,2.74,23.14,1.0
706,Sag,B,158.43,224.05,4.3,253.0,74.93,47.36,4.53,30.3,1.0
707,Transient,C,227.42,430.92,6.65,146.0,95.9,44.34,3.83,34.27,3.0
708,Swell,A,258.98,366.26,4.07,187.0,99.95,33.01,2.72,25.76,2.0
709,Transient,B,220.9,385.88,2.91,221.0,41.26,,3.74,,3.0
710,Sag,A,167.04,236.23,4.9,117.0,42.09,16.76,4.79,34.53,1.0
711,Sag,A,148.76,210.38,4.41,199.0,68.5,38.92,3.49,30.8,1.0
712,Transient,B,228.79,404.93,3.51,190.0,66.03,5.45,1.78,29.83,3.0
713,Sag,A,162.57,229.91,2.97,246.0,36.9,23.49,1.87,39.32,1.0
714,Harmonics,C,228.96,323.8,12.75,136.0,57.19,48.33,3.43,39.67,4.0
715,Swell,A,270.9,383.11,3.24,150.0,86.91,35.74,1.21,35.66,2.0
716,Transient,A,231.83,419.86,3.81,84.0,76.35,33.23,2.89,39.2,
717,Harmonics,C,233.37,330.03,10.76,111.0,42.35,43.63,1.93,22.31,4.0
718,Harmonics,,232.24,328.44,10.0,203.0,64.63,13.48,4.22,39.35,4.0
719,,A,235.54,408.15,5.02,136.0,70.48,15.83,3.97,35.01,3.0
720,Normal,C,242.76,343.31,2.33,215.0,35.67,29.93,1.01,25.66,0.0
721,Sag,A,142.34,201.3,1.87,11.0,61.92,11.97,2.42,33.94,1.0
722,Harmonics,B,223.58,316.19,13.78,176.0,10.53,8.53,4.53,21.56,4.0
723,Transient,B,233.33,396.12,8.18,88.0,88.64,27.58,2.75,26.79,3.0
724,Harmonics,C,230.2,325.55,9.32,248.0,65.46,26.73,2.56,38.18,4.0
725,Transient,A,237.19,405.28,4.77,186.0,59.56,47.5,1.85,30.4,3.0
726,Sag,C,157.24,222.38,3.06,32.0,17.81,32.25,1.23,,1.0
727,Sag,A,141.56,200.19,3.64,88.0,55.15,37.65,1.45,28.13,1.0
728,Swell,B,283.21,400.52,3.67,213.0,16.4,20.55,3.97,28.76,2.0
729,Transient,A,231.99,382.61,8.32,137.0,64.87,16.51,2.63,33.55,3.0
730,Swell,C,273.92,387.38,5.1,212.0,46.95,,4.59,33.71,2.0
731,Sag,B,158.26,,1.65,114.0,26.05,15.77,2.67,25.02,1.0
732,Sag,A,146.92,207.77,3.44,222.0,77.18,45.21,4.03,26.64,1.0
733,Transient,A,238.36,421.84,4.18,212.0,,10.93,4.43,32.68,3.0
734,Sag,C,153.52,217.11,3.52,38.0,72.47,5.73,,27.03,1.0
735,Swell,B,276.05,390.4,2.91,213.0,70.93,41.14,3.25,34.82,2.0
736,Swell,B,282.47,399.47,1.9,139.0,37.41,6.12,1.02,,2.0
737,Sag,A,153.69,217.35,3.43,177.0,,27.42,2.75,24.37,1.0
738,Sag,C,147.43,208.49,4.08,,49.4,15.38,2.16,35.45,1.0
739,Harmonics,A,231.54,327.45,11.46,201.0,18.07,20.18,1.36,,4.0
740,Transient,A,224.31,394.5,6.87,262.0,31.43,47.23,1.68,22.26,3.0
741,Transient,B,234.92,419.5,5.58,51.0,71.13,8.33,4.97,28.16,3.0
742,Normal,C,230.24,,1.49,80.0,25.68,48.33,1.7,23.55,0.0
743,Sag,B,142.28,201.22,2.5,296.0,97.53,29.48,3.24,30.4,1.0
744,Harmonics,A,228.26,322.81,12.31,37.0,82.6,7.24,3.41,36.14,4.0
745,Sag,A,139.45,197.21,3.26,286.0,55.28,19.22,,37.49,1.0
746,Normal,B,220.01,311.14,2.72,191.0,21.25,9.79,3.75,25.2,0.0
747,Transient,A,229.77,402.28,5.09,148.0,66.51,21.44,3.14,35.77,3.0
748,Normal,A,,318.71,1.76,214.0,38.48,39.83,1.21,20.26,0.0
749,Transient,A,237.94,400.79,7.09,141.0,58.19,47.11,3.39,36.19,3.0
750,Transient,B,232.23,400.38,4.21,213.0,96.6,18.05,4.41,27.75,3.0
751,Transient,C,232.69,392.0,3.45,148.0,24.35,48.56,4.66,23.34,3.0
752,Sag,B,150.99,213.53,4.68,124.0,85.37,18.94,3.03,28.03,1.0
753,Transient,C,230.51,402.99,2.88,137.0,43.33,15.18,4.49,36.29,3.0
754,Sag,A,158.03,223.49,1.11,226.0,26.17,31.01,4.83,30.06,1.0
755,Harmonics,B,231.56,327.47,7.41,121.0,27.36,13.6,4.08,25.31,4.0
756,Normal,C,236.14,333.95,2.58,279.0,28.62,21.12,1.6,30.2,0.0
757,Harmonics,C,230.58,326.09,0.6,279.0,54.26,45.33,4.23,20.07,4.0
758,Sag,C,164.58,232.75,1.54,209.0,13.4,33.95,2.05,21.05,1.0
759,Normal,A,227.89,322.29,2.43,199.0,91.3,8.14,1.23,38.54,0.0
760,Harmonics,C,226.8,320.75,7.45,181.0,65.38,23.54,4.74,20.97,4.0
761,Harmonics,A,227.29,321.44,16.04,86.0,74.98,43.78,3.62,30.23,4.0
762,Sag,A,156.37,221.15,1.02,75.0,54.82,18.95,4.25,37.34,1.0
763,Harmonics,B,228.66,323.37,11.95,150.0,73.98,48.8,4.16,24.86,4.0
764,Swell,B,266.44,376.8,3.32,68.0,70.96,36.62,4.82,30.63,2.0
765,Normal,C,229.9,325.13,1.89,215.0,91.25,43.27,2.66,22.25,0.0
766,Sag,A,160.31,226.71,2.37,255.0,36.33,12.54,2.52,27.07,1.0
767,Normal,A,230.72,,2.05,290.0,85.15,42.91,2.21,28.59,0.0
768,Normal,A,240.3,339.84,1.75,125.0,82.2,20.69,3.78,23.19,0.0
769,Transient,C,235.88,435.99,6.29,19.0,41.11,32.97,1.16,23.74,3.0
770,Normal,A,237.23,335.49,1.5,280.0,58.02,5.01,1.96,24.16,0.0
771,Swell,C,285.49,403.75,4.29,18.0,91.23,8.3,4.58,24.56,2.0
772,Transient,B,232.31,426.02,4.13,205.0,44.51,11.85,3.67,25.69,3.0
773,Transient,C,229.96,,8.18,149.0,92.53,49.86,1.61,37.26,3.0
774,Normal,A,227.54,321.79,2.66,135.0,93.95,8.52,3.75,35.7,0.0
775,Normal,A,229.21,324.16,1.45,114.0,93.69,26.77,2.96,22.39,0.0
776,Normal,B,240.87,340.64,1.13,195.0,51.41,5.68,2.13,28.73,0.0
777,Harmonics,C,231.37,327.2,7.01,81.0,54.78,11.97,1.73,27.3,4.0
778,Transient,C,233.22,388.26,5.29,224.0,33.2,23.31,2.84,25.95,3.0
779,Swell,A,280.24,396.32,1.98,82.0,93.09,36.02,1.51,27.13,2.0
780,Harmonics,A,234.74,331.97,11.23,63.0,33.55,8.01,1.11,24.89,4.0
781,Harmonics,C,228.62,323.31,14.86,76.0,46.72,13.61,3.07,38.16,4.0
782,Transient,A,226.91,386.85,5.51,177.0,58.06,44.58,2.64,29.64,3.0
783,Normal,B,223.53,316.12,1.96,251.0,51.48,35.21,1.65,29.73,0.0
784,Sag,A,156.71,221.63,4.18,189.0,14.18,33.08,3.5,37.82,1.0
785,Harmonics,C,228.88,323.69,8.53,234.0,31.53,17.62,4.28,31.69,4.0
786,Swell,A,241.67,341.77,4.86,35.0,87.81,27.48,2.75,32.22,2.0
787,Harmonics,B,229.35,324.34,13.38,262.0,53.47,44.91,2.51,34.99,4.0
788,Swell,B,264.08,373.46,5.56,282.0,98.33,11.06,2.26,29.71,2.0
789,Normal,A,230.82,326.42,2.37,98.0,55.17,32.23,3.24,29.73,0.0
790,Normal,C,232.26,328.46,1.77,205.0,21.8,39.48,4.73,38.95,0.0
791,Sag,A,147.55,208.67,3.49,232.0,46.6,22.24,4.18,29.13,1.0
792,Normal,,231.96,328.05,2.25,212.0,19.67,9.55,1.05,30.97,0.0
793,Harmonics,B,228.0,322.44,7.76,289.0,87.26,29.59,3.28,26.86,4.0
794,Swell,B,269.75,381.48,3.28,196.0,40.47,26.3,3.45,37.38,2.0
795,Sag,A,166.16,234.99,3.83,231.0,70.17,43.82,1.65,36.25,1.0
796,Harmonics,B,236.15,333.96,9.34,,45.55,16.43,4.93,39.66,4.0
797,Harmonics,B,221.88,313.79,,127.0,46.79,19.7,3.98,21.59,4.0
798,Swell,C,266.8,377.31,,297.0,67.74,6.05,2.72,37.5,2.0
799,Harmonics,C,231.06,326.77,9.0,298.0,61.33,7.41,1.56,32.45,4.0
800,Normal,A,245.45,347.12,2.14,65.0,85.82,37.51,1.31,22.12,
801,Normal,C,,333.01,2.89,58.0,68.79,20.71,4.86,36.03,0.0
802,Normal,A,221.72,313.56,1.74,58.0,13.65,46.12,4.33,25.95,0.0
803,Transient,C,224.53,393.87,7.25,256.0,10.49,35.08,4.89,32.14,3.0
804,Sag,B,146.77,207.56,3.63,213.0,57.89,26.71,3.81,21.36,1.0
805,Swell,C,269.2,380.71,4.31,228.0,18.81,30.93,3.21,23.77,2.0
806,Swell,B,282.22,399.12,1.32,89.0,14.48,17.08,3.62,30.67,2.0
807,Transient,C,231.37,431.97,3.72,26.0,56.13,17.05,2.82,29.42,3.0
808,Swell,B,273.02,386.11,4.98,122.0,11.22,12.3,4.94,21.52,2.0
809,Swell,A,272.95,386.01,3.26,177.0,43.59,27.2,3.32,23.78,2.0
810,Swell,C,281.03,397.44,4.94,135.0,64.38,10.44,1.31,30.55,2.0
811,Transient,B,234.11,377.68,5.03,70.0,60.5,35.93,2.3,21.89,3.0
812,Swell,C,290.0,410.12,2.9,185.0,82.92,29.15,2.11,21.23,2.0
813,Swell,A,253.26,358.16,2.38,104.0,23.55,26.11,3.02,31.7,2.0
814,Swell,B,280.69,396.96,3.86,54.0,32.87,42.13,2.94,30.87,2.0
815,Transient,B,224.02,381.4,4.09,241.0,49.95,13.46,3.61,22.97,3.0
816,Harmonics,C,226.06,319.69,9.22,83.0,69.74,34.96,2.14,29.2,4.0
817,Harmonics,A,236.42,334.35,9.17,140.0,56.84,43.74,1.02,20.7,4.0
818,Harmonics,B,226.82,320.78,10.62,228.0,96.01,39.74,4.37,35.21,4.0
819,Transient,C,225.91,406.43,1.39,97.0,54.75,9.23,2.16,39.67,3.0
820,Transient,A,236.96,385.25,3.75,287.0,43.05,46.12,2.47,27.47,
821,Harmonics,C,230.47,325.93,10.31,170.0,83.61,,4.48,30.25,4.0
822,Normal,B,240.46,340.06,1.98,50.0,,25.1,2.37,22.76,0.0
823,Transient,A,231.11,391.4,5.78,129.0,63.93,41.34,1.44,27.95,3.0
824,Harmonics,A,228.27,322.82,8.4,272.0,55.33,44.02,4.81,28.1,4.0
825,Transient,B,226.14,403.26,3.41,269.0,32.83,44.77,3.25,23.72,3.0
826,Harmonics,B,232.82,329.26,9.98,96.0,53.95,20.2,3.2,34.97,4.0
827,Normal,A,229.21,324.15,1.73,115.0,60.43,37.79,2.42,,0.0
828,Normal,B,233.66,330.44,1.76,208.0,34.5,22.29,4.34,22.97,0.0
829,,,232.46,328.75,2.42,81.0,46.42,22.72,1.77,21.22,
830,Transient,B,233.52,389.45,5.39,237.0,87.0,28.88,2.02,33.51,3.0
831,Swell,B,271.18,383.5,6.74,119.0,69.74,10.1,3.88,30.01,2.0
832,Transient,A,234.48,420.01,4.29,175.0,75.98,9.23,4.81,32.45,3.0
833,Normal,A,231.46,327.34,1.4,68.0,73.49,35.23,2.58,20.03,0.0
834,Normal,A,229.51,324.57,2.94,17.0,29.99,42.11,3.43,28.89,0.0
835,Normal,B,232.49,328.79,2.38,186.0,20.58,,1.84,20.24,0.0
836,Normal,C,225.51,,2.54,187.0,62.22,,2.28,33.41,0.0
837,Normal,C,226.68,320.57,1.49,169.0,45.75,16.04,2.79,26.41,0.0
838,Normal,A,232.87,329.32,1.5,268.0,72.16,28.1,3.6,37.79,0.0
839,Normal,C,225.37,318.72,1.89,109.0,13.69,28.73,4.55,36.76,0.0
840,Swell,A,268.89,380.27,3.21,63.0,90.46,48.85,,27.12,2.0
841,Harmonics,C,232.51,328.82,,,53.52,35.84,4.12,20.4,4.0
842,Swell,A,278.2,393.44,4.32,104.0,52.93,33.9,1.15,32.43,2.0
843,Harmonics,B,224.74,317.83,6.54,98.0,12.83,37.69,4.34,28.3,4.0
844,Harmonics,B,231.71,327.68,14.5,209.0,57.5,28.29,3.31,34.99,4.0
845,Harmonics,C,224.89,318.05,7.26,76.0,57.69,32.67,2.93,21.87,4.0
846,Sag,B,141.64,200.31,4.1,229.0,89.3,16.55,3.37,38.72,1.0
847,Normal,A,236.01,333.77,1.93,93.0,74.01,9.5,1.13,31.21,0.0
848,Transient,C,227.01,422.17,4.99,232.0,18.28,19.7,,25.59,3.0
849,Sag,B,147.79,209.0,,133.0,93.77,5.24,3.99,38.06,1.0
850,Swell,B,269.6,381.27,3.17,146.0,82.91,8.94,3.54,38.29,2.0
851,Swell,A,288.29,407.7,4.07,65.0,,18.56,2.85,31.99,2.0
852,Normal,C,238.07,336.68,2.66,179.0,77.35,16.79,4.53,37.84,0.0
853,Transient,A,228.87,413.7,5.18,66.0,98.43,28.75,4.15,36.81,3.0
854,Harmonics,A,230.16,,15.45,31.0,32.4,19.6,2.34,20.51,4.0
855,Swell,A,283.42,400.82,4.2,150.0,93.94,33.46,2.15,32.77,2.0
856,Swell,A,270.01,381.85,4.68,266.0,45.28,16.86,4.82,32.07,2.0
857,Swell,C,262.27,370.91,2.63,33.0,50.85,35.17,2.27,27.62,2.0
858,Transient,C,230.21,366.95,4.31,234.0,51.36,21.31,3.35,32.49,3.0
859,Harmonics,B,233.05,329.58,10.57,235.0,,37.74,2.81,37.13,4.0
860,Swell,A,263.74,372.98,3.24,169.0,21.3,41.61,1.14,30.56,2.0
861,Normal,A,223.5,316.07,1.95,259.0,75.7,10.93,3.72,36.85,0.0
862,Swell,C,282.39,399.35,2.22,244.0,22.17,30.69,2.63,33.23,2.0
863,Swell,B,277.45,392.38,2.02,155.0,98.6,18.4,3.4,35.53,2.0
864,Normal,,235.11,332.5,2.51,119.0,11.39,24.61,1.9,27.77,0.0
865,Sag,C,134.1,189.65,5.16,40.0,54.47,37.93,2.54,38.9,1.0
866,Harmonics,A,220.69,312.11,6.74,256.0,16.77,36.85,2.93,37.93,4.0
867,Normal,C,228.45,323.08,1.26,106.0,29.9,17.11,4.21,20.88,0.0
868,Swell,C,252.29,356.8,2.38,224.0,17.88,41.26,3.68,34.65,2.0
869,Normal,A,224.88,,2.48,35.0,20.91,10.12,2.64,32.96,0.0
870,Transient,C,237.96,377.12,3.3,138.0,19.52,33.28,1.38,21.9,3.0
871,Transient,C,232.53,428.13,3.16,28.0,55.88,31.34,,,3.0
872,Sag,A,141.6,200.25,1.83,245.0,97.19,49.64,4.16,33.27,1.0
873,Sag,C,155.93,220.52,2.4,264.0,92.24,44.6,5.0,24.88,
874,Transient,,230.7,384.51,4.42,142.0,12.35,35.97,3.42,38.72,3.0
875,Harmonics,A,223.95,316.72,10.17,86.0,73.83,14.02,1.84,33.77,
876,Transient,A,219.88,396.07,4.25,104.0,68.93,15.28,2.1,26.3,3.0
877,Normal,C,234.17,331.17,2.06,205.0,36.32,36.74,3.94,26.07,0.0
878,Swell,A,274.05,387.57,1.55,11.0,72.42,6.79,4.36,28.96,2.0
879,Harmonics,C,234.89,332.19,11.61,209.0,52.59,32.8,2.83,37.88,4.0
880,Sag,B,125.48,177.46,2.21,38.0,50.9,38.53,1.85,20.21,1.0
881,Harmonics,B,224.0,316.78,14.18,252.0,32.11,9.92,4.18,21.98,4.0
882,,C,151.11,213.7,3.81,21.0,14.75,25.56,4.77,37.76,1.0
883,Swell,C,264.01,373.37,2.57,104.0,12.81,44.16,1.55,22.55,2.0
884,Normal,C,229.43,324.47,2.26,101.0,45.79,20.13,1.94,29.61,
885,Transient,,231.29,360.16,3.08,114.0,10.89,15.71,4.28,24.19,3.0
886,Sag,B,153.96,217.73,2.32,134.0,39.81,17.71,3.22,34.61,1.0
887,Sag,C,147.54,208.65,0.7,26.0,79.99,38.25,4.57,28.96,1.0
888,Swell,B,268.28,379.41,4.6,230.0,97.85,28.95,4.62,21.66,2.0
889,Harmonics,C,227.55,321.81,10.94,259.0,78.67,22.38,4.82,38.21,4.0
890,Sag,B,149.76,211.79,1.58,254.0,71.63,10.64,4.15,20.36,1.0
891,Transient,A,234.86,,4.0,121.0,36.1,33.3,1.47,33.1,3.0
892,Normal,C,227.38,321.56,1.63,227.0,85.5,6.45,3.08,31.34,0.0
893,Harmonics,,228.45,323.08,14.39,142.0,37.95,32.71,3.76,,4.0
894,Sag,B,148.76,210.37,1.24,143.0,59.6,36.89,1.46,26.11,1.0
895,Swell,C,254.72,360.23,2.36,141.0,19.28,47.44,4.18,23.63,2.0
896,Sag,C,141.78,200.51,3.73,235.0,54.23,37.49,4.75,21.83,1.0
897,Swell,B,288.14,407.49,5.03,128.0,67.43,17.97,1.94,34.61,2.0
898,Harmonics,A,236.06,333.84,7.99,129.0,31.69,47.13,3.08,27.3,4.0
899,Transient,B,224.19,408.21,3.85,227.0,44.0,19.25,3.71,25.79,3.0
900,Swell,A,284.09,401.77,3.01,10.0,15.27,18.74,1.63,23.48,2.0
901,Harmonics,B,231.44,327.31,11.49,121.0,71.98,49.04,3.91,38.57,4.0
902,Harmonics,C,228.58,323.26,12.26,34.0,42.36,10.66,3.36,30.5,4.0
903,,B,219.95,311.05,10.92,297.0,32.79,45.92,1.41,20.98,4.0
904,Swell,B,279.97,395.94,4.68,63.0,71.59,21.2,3.67,20.81,2.0
905,Swell,B,257.31,363.9,5.29,282.0,98.29,32.62,4.17,21.71,2.0
906,Swell,A,257.77,364.54,4.92,191.0,83.39,27.26,1.54,37.71,2.0
907,Transient,A,230.34,434.01,2.21,274.0,12.26,37.53,4.24,35.94,3.0
908,Harmonics,A,222.93,315.27,8.98,264.0,50.24,24.66,4.14,21.87,4.0
909,,C,229.79,324.98,11.74,177.0,72.84,14.35,1.08,29.59,4.0
910,Harmonics,C,232.3,328.52,8.45,124.0,55.77,26.45,2.08,20.58,4.0
911,,B,139.77,197.66,2.3,72.0,54.55,10.89,3.78,24.12,1.0
912,Harmonics,B,229.01,323.87,9.68,263.0,65.75,41.14,2.73,35.72,4.0
913,Transient,B,235.56,399.56,6.06,66.0,61.82,,1.5,20.53,3.0
914,Sag,B,171.43,242.44,2.53,281.0,14.43,43.36,3.19,23.95,1.0
915,Swell,B,272.54,385.43,1.71,,24.27,41.57,1.53,24.67,2.0
916,Harmonics,,237.97,336.54,10.31,80.0,,12.03,2.75,27.94,4.0
917,Sag,B,131.6,186.11,4.33,148.0,30.42,30.9,2.69,30.3,1.0
918,Harmonics,A,226.56,320.4,10.42,231.0,60.61,35.19,3.81,25.83,4.0
919,Transient,C,231.02,384.2,6.38,173.0,63.08,25.25,4.43,39.14,3.0
920,Harmonics,A,233.44,,12.58,23.0,50.9,14.42,1.01,24.83,4.0
921,Transient,C,227.75,381.72,1.81,44.0,50.7,11.01,1.19,,3.0
922,Swell,A,264.09,373.48,3.94,151.0,66.74,45.85,2.68,35.67,2.0
923,Swell,B,269.79,381.54,1.76,237.0,11.99,33.83,2.66,25.4,2.0
924,Harmonics,B,230.31,325.71,8.04,198.0,62.89,16.76,4.94,26.19,4.0
925,Normal,A,233.29,329.93,2.54,252.0,49.74,47.52,1.57,32.86,0.0
926,,A,265.92,376.06,,224.0,71.7,39.15,3.13,32.77,2.0
927,,C,227.97,322.4,5.23,184.0,36.54,5.69,1.88,25.64,4.0
928,Transient,C,234.71,423.53,7.26,38.0,10.27,16.16,4.71,38.64,3.0
929,Harmonics,A,230.6,326.12,10.27,164.0,35.88,19.99,2.71,,4.0
930,Normal,C,230.34,325.74,1.64,104.0,35.26,48.75,,34.67,0.0
931,,A,221.12,312.71,9.08,60.0,68.65,37.07,3.75,26.39,4.0
932,Harmonics,C,225.77,319.29,13.57,71.0,81.45,34.76,1.43,29.75,4.0
933,Normal,A,229.27,324.23,0.82,34.0,91.86,5.81,3.23,35.75,0.0
934,Normal,B,233.25,329.87,1.85,62.0,52.37,44.52,3.34,33.48,0.0
935,Swell,C,266.68,377.14,1.8,230.0,18.61,46.16,1.36,32.96,2.0
936,Harmonics,C,234.91,332.21,4.08,102.0,69.77,23.87,4.86,33.68,4.0
937,Transient,B,234.33,458.71,3.46,269.0,90.99,25.17,2.1,27.86,3.0
938,Transient,A,226.81,382.47,6.78,221.0,29.42,12.14,2.25,22.12,3.0
939,Normal,B,223.62,316.24,1.82,114.0,81.78,29.21,2.24,22.9,0.0
940,Transient,A,231.51,433.35,6.63,260.0,93.48,7.98,,28.05,3.0
941,Sag,B,166.51,235.49,2.98,275.0,89.15,26.95,3.52,21.59,1.0
942,Normal,C,228.05,322.51,1.48,138.0,61.45,45.63,2.58,39.62,0.0
943,Sag,C,150.11,212.28,,155.0,11.84,32.2,2.11,37.25,1.0
944,Swell,,254.05,359.28,3.3,175.0,46.83,18.01,4.24,36.01,2.0
945,Sag,B,160.12,226.44,3.01,260.0,44.08,23.82,3.19,31.07,1.0
946,Normal,C,219.63,310.6,1.12,10.0,74.67,14.62,1.79,28.26,0.0
947,Transient,C,224.96,399.98,3.55,153.0,,26.83,4.9,20.16,3.0
948,Harmonics,B,216.43,306.08,18.94,175.0,25.45,34.42,1.1,21.27,4.0
949,Sag,B,148.89,210.56,2.99,76.0,15.41,19.65,1.57,34.2,1.0
950,Transient,A,224.37,416.55,,52.0,25.86,32.28,2.35,31.71,3.0
951,Transient,B,223.27,420.97,5.81,139.0,11.09,28.35,3.42,39.26,3.0
